1B74 | 2023-03-02 17:30:48.735
1B6A | 2023-03-02 17:30:49.812
1B6B | 2023-03-02 17:30:49.819
1B6E | 2023-03-02 17:30:49.825
1B6F | 2023-03-02 17:30:49.831
1B72 | 2023-03-02 17:30:49.836
1B73 | 2023-03-02 17:30:49.842
1B75 | 2023-03-02 17:30:49.847
1B76 | 2023-03-02 17:30:49.852
1B7C | 2023-03-02 17:30:49.858
1B78 | 2023-03-02 17:30:50.767
1B74 | 2023-03-02 17:30:52.857
1B6A | 2023-03-02 17:30:53.800
1B6B | 2023-03-02 17:30:53.806
1B6E | 2023-03-02 17:30:53.811
1B6F | 2023-03-02 17:30:53.817
1B72 | 2023-03-02 17:30:53.823
1B73 | 2023-03-02 17:30:53.828
1B76 | 2023-03-02 17:30:53.835
1B7C | 2023-03-02 17:30:53.839
1B75 | 2023-03-02 17:30:53.870
1B78 | 2023-03-02 17:30:53.876
1B72 | 2023-03-02 17:37:29.498
1B70 | 2023-03-02 17:37:31.517
1B72 | 2023-03-02 17:37:33.614
1B78 | 2023-03-02 17:37:36.583
1B72 | 2023-03-02 17:37:37.588
1B70 | 2023-03-02 17:37:40.631
1B78 | 2023-03-02 17:37:40.705
1B72 | 2023-03-02 17:37:41.637
1B78 | 2023-03-02 17:37:44.751
1B72 | 2023-03-02 17:37:45.689
1B70 | 2023-03-02 17:37:47.703
1B72 | 2023-03-02 17:37:49.722
1B78 | 2023-03-02 17:37:49.728
1B72 | 2023-03-02 17:37:54.849
1B72 | 2023-03-02 17:38:01.871
1B72 | 2023-03-02 17:38:04.980
1B72 | 2023-03-02 17:38:11.972
1B78 | 2023-03-02 17:38:13.994
1B72 | 2023-03-02 17:38:17.031
1B78 | 2023-03-02 17:38:20.065
1B72 | 2023-03-02 17:38:23.108
1B78 | 2023-03-02 17:38:31.216
1B72 | 2023-03-02 17:38:32.225
1B72 | 2023-03-02 17:38:36.278
1B78 | 2023-03-02 17:38:37.288
1B72 | 2023-03-02 17:38:39.379
1B72 | 2023-03-02 17:38:43.346
1B78 | 2023-03-02 17:38:44.420
1B72 | 2023-03-02 17:38:46.440
1B72 | 2023-03-02 17:38:50.408
1B78 | 2023-03-02 17:38:53.453
1B72 | 2023-03-02 17:38:53.520
1B78 | 2023-03-02 17:38:57.499
1B72 | 2023-03-02 17:38:59.521
1B72 | 2023-03-02 17:39:03.571
